"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-03","7.2",",,W",,,"11.2",",,W,2400","0.0",",,W,","0.0",",,W,","8.1","H,,S","13.3",",,W","3.9",",,W","  170",",,W","  170",",,W","16.5",",,W","20.1",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-04","4.3",",,W",,,"1.0",",,W,2400","0.0",",,W,","0.0",",,W,","11.6","H,,S","12.8",",,W","6.1",",,W","  320",",,W","  320",",,W","10.7",",,W","13.0",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-05","7.7",",,W",,,"19.3",",,W,2400","117.0",",,W,","30.0",",,W,","3.8","H,,S","6.1",",,W","0.0",",,W","  360",",,W","  340",",,W","13.0",",,W","16.1",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-06","3.8",",,W",,,"0.0",",,W,2400","0.0",",,W,","100.0",",,W,","0.8","H,,S","3.3",",,W","-4.9",",,W","  330",",,W","  330",",,W","7.6",",,W","8.9",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-07","3.1",",,W",,,"0.0",",,W,2400","0.0",",,W,","50.0",",,W,","3.0","H,,S","7.2",",,W","-1.6",",,W","   40",",,W","   40",",,W","7.6",",,W","9.4",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-08","6.8",",,W",,,"4.1",",,W,2400","43.0",",,W,","30.0",",,W,","2.0","H,,S","3.9",",,W","-2.1",",,W","   50",",,W","   30",",,W","11.6",",,W","14.8",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-09","2.9",",,W",,,"0.0","T,,W,2400","0.0","T,,W,","50.0",",,W,","-0.9","H,,S","2.8",",,W","-3.2",",,W","   40",",,W","   20",",,W","7.2",",,W","8.1",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-10","5.8",",,W",,,"0.5",",,W,2400","3.0",",,W,","30.0",",,W,","1.6","H,,S","4.4",",,W","0.0",",,W","  260",",,W","  270",",,W","10.7",",,W","13.0",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-11","9.8",",,W",,,"0.0","T,,W,2400","0.0","T,,W,","0.0","T,,W,","-2.2","H,,S","0.0",",,W","-6.6",",,W","  290",",,W","  280",",,W","16.1",",,W","20.6",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-12","5.3",",,W",,,"0.0","T,,W,2400","0.0","T,,W,","0.0",",,W,","-5.8","H,,S","-3.2",",,W","-8.2",",,W","  310",",,W","  300",",,W","11.6",",,W","14.8",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-13","10.3",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,","-5.5","H,,S","-3.8",",,W","-13.8",",,W","  290",",,W","  300",",,W","16.5",",,W","21.9",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-14","6.4",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,","-13.1","H,,S","-8.2",",,W","-17.1",",,W","  320",",,W","  320",",,W","13.4",",,W","17.0",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-15","3.0",",,W",,,"16.3",",,W,2400","43.0",",,W,","0.0",",,W,","-7.1","H,,S","6.7",",,W","-10.5",",,W","   30",",,W","   90",",,W","5.4",",,W","11.2",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-16","8.2",",,W",,,"11.9",",,W,2400","0.0",",,W,","0.0",",,W,","7.8","H,,S","12.2",",,W","3.9",",,W","  190",",,W","  180",",,W","19.7",",,W","24.6",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-17","5.7",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,","4.4","H,,S","5.0",",,W","2.2",",,W","  290",",,W","  300",",,W","10.3",",,W","12.5",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-18","6.8",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,","1.4","H,,S","2.8",",,W","-2.7",",,W","  310",",,W","  320",",,W","10.7",",,W","13.4",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-19","4.3",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,","-1.2","H,,S","5.0",",,W","-4.3",",,W","  200",",,W","  160",",,W","9.8",",,W","15.7",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-20","6.2",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,","7.8","H,,S","15.0",",,W","4.4",",,W","  180",",,W","  190",",,W","11.2",",,W","13.4",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-21","3.2",",,W",,,"2.0",",,W,2400","0.0",",,W,","0.0",",,W,","9.7","H,,S","14.4",",,W","3.9",",,W","  350",",,W","  350",",,W","7.2",",,W","8.9",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-22","3.3",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,","7.2","H,,S","10.0",",,W","1.7",",,W","   20",",,W","   30",",,W","6.7",",,W","8.1",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-23","6.9",",,W",,,"7.4",",,W,2400","0.0",",,W,","0.0",",,W,","4.1","H,,S","6.1",",,W","2.2",",,W","   50",",,W","   60",",,W","10.7",",,W","13.9",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-24","8.5",",,W",,,"26.7",",,W,2400","0.0",",,W,","0.0",",,W,","6.7","H,,S","14.4",",,W","3.3",",,W","  170",",,W","  170",",,W","19.2",",,W","24.1",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-25","10.5",",,W",,,"1.0",",,W,2400","0.0",",,W,","0.0",",,W,","10.2","H,,S","15.0",",,W","3.3",",,W","  170",",,W","  170",",,W","19.2",",,W","23.7",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-26","9.2",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,","3.1","H,,S","4.4",",,W","-1.6",",,W","  320",",,W","  330",",,W","13.9",",,W","18.3",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-27","6.3",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,","0.3","H,,S","4.4",",,W","-2.1",",,W","  320",",,W","  320",",,W","12.5",",,W","15.7",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-28","6.6",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,","6.2","H,,S","14.4",",,W","1.7",",,W","  190",",,W","  190",",,W","9.8",",,W","11.6",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-29","6.7",",,W",,,"1.5",",,W,2400","0.0",",,W,","0.0",",,W,","8.9","H,,S","16.7",",,W","5.6",",,W","  260",",,W","  270",",,W","12.5",",,W","14.8",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-01","6.2",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,","7.8","H,,S","11.7",",,W","5.0",",,W","  160",",,W","  160",",,W","12.5",",,W","15.7",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-03-02","10.5",",,W",,,"4.1",",,W,2400","0.0",",,W,","0.0",",,W,","8.2","H,,S","11.7",",,W","-1.0",",,W","  310",",,W","  310",",,W","17.0",",,W","20.6",",,W"
